title,budget,revenue,popularity,vote_average,vote_count,runtime,primary_genre,season,release_year,ROI,investment_success,success_probability,investment_decision,budget_M,revenue_M
Die Hard: With a Vengeance,90000000,366101666,51.881077,6.9,2066,128.0,Action,Spring,1995,4.067796288888889,1,67.7,Invest with caution,90.0,366.1
Sherlock Holmes,90000000,524028679,57.834787,7.0,5766,128.0,Action,Holiday,2009,5.822540877777778,1,96.0,Invest with confidence,90.0,524.0
Ben-Hur,100000000,94061311,29.608322,5.3,621,125.0,Drama,Summer,2016,0.94061311,0,24.6,Do not invest,100.0,94.1
Atlantis: The Lost Empire,120000000,186053725,51.548589,6.7,1224,95.0,Animation,Summer,2001,1.5504477083333332,0,62.3,Invest with caution,120.0,186.1
Valkyrie,75000000,200276000,38.832842,6.7,1173,121.0,Drama,Holiday,2008,2.6703466666666666,1,70.0,Invest with confidence,75.0,200.3
You Don't Mess with the Zohan,90000000,201596308,40.597344,5.5,1048,113.0,Comedy,Summer,2008,2.239958977777778,1,74.5,Invest with confidence,90.0,201.6
Pixels,88000000,243637091,140.849495,5.6,2513,105.0,Action,Summer,2015,2.7686033068181817,1,89.1,Invest with confidence,88.0,243.6
A.I. Artificial Intelligence,100000000,235926552,34.035114,6.8,1974,146.0,Drama,Summer,2001,2.35926552,1,63.5,Invest with caution,100.0,235.9
The Haunted Mansion,90000000,182290266,16.302378,5.2,466,99.0,Thriller,Holiday,2003,2.0254474,1,34.1,Do not invest,90.0,182.3
Contact,90000000,171120329,55.249434,7.2,1308,150.0,Drama,Summer,1997,1.901336988888889,0,45.4,Check the details,90.0,171.1
Hollow Man,95000000,190213455,28.200874,5.6,634,112.0,Action,Summer,2000,2.002246894736842,1,32.8,Do not invest,95.0,190.2
The Interpreter,80000000,162944923,18.69984,6.2,392,128.0,Crime,Spring,2005,2.0368115375,1,25.0,Do not invest,80.0,162.9
Percy Jackson: Sea of Monsters,90000000,174578751,40.262261,5.9,1648,106.0,Adventure,Summer,2013,1.9397639,0,72.6,Invest with confidence,90.0,174.6
Lara Croft Tomb Raider: The Cradle of Life,95000000,156505388,56.811056,5.5,1418,117.0,Action,Summer,2003,1.6474251368421053,0,66.1,Invest with caution,95.0,156.5
Now You See Me 2,90000000,334901337,51.535701,6.7,3235,129.0,Action,Summer,2016,3.7211259666666665,1,95.7,Invest with confidence,90.0,334.9
The Saint,68000000,118063304,20.913852,5.9,302,116.0,Thriller,Spring,1997,1.7362250588235295,0,17.6,Do not invest,68.0,118.1
Spy Game,92000000,143049560,27.166757,6.8,579,126.0,Action,Holiday,2001,1.5548865217391303,0,35.6,Check the details,92.0,143.0
Mission to Mars,90000000,60874615,16.058284,5.7,369,114.0,Science Fiction,Spring,2000,0.6763846111111111,0,15.7,Do not invest,90.0,60.9
Rio,90000000,484635760,46.200042,6.5,2166,96.0,Animation,Spring,2011,5.384841777777778,1,85.4,Invest with confidence,90.0,484.6
Bicentennial Man,100000000,93700000,24.939295,6.9,963,131.0,Comedy,Holiday,1999,0.937,0,50.7,Invest with caution,100.0,93.7
The Devil's Own,90000000,140807547,15.350451,5.9,290,107.0,Crime,Spring,1997,1.5645283,0,18.5,Do not invest,90.0,140.8
K-19: The Widowmaker,100000000,35168966,15.625949,6.1,264,138.0,Drama,Summer,2002,0.35168966,0,10.7,Do not invest,100.0,35.2
Conan the Barbarian,20000000,79114085,31.802807,6.6,650,129.0,Adventure,Spring,1982,3.95570425,1,63.2,Invest with caution,20.0,79.1
Cinderella Man,88000000,108539911,24.100863,7.3,616,144.0,Romance,Summer,2005,1.2334080795454545,0,20.6,Do not invest,88.0,108.5
The Nutcracker: The Untold Story,90000000,16178959,3.593349,5.4,50,110.0,Fantasy,Holiday,2010,0.1797662111111111,0,4.1,Do not invest,90.0,16.2
Seabiscuit,87000000,148336445,14.824166,6.7,216,141.0,Drama,Summer,2003,1.7050166091954022,0,10.9,Do not invest,87.0,148.3
Twister,92000000,494471524,32.079995,6.1,950,113.0,Action,Spring,1996,5.374690478260869,1,45.1,Check the details,92.0,494.5
Cast Away,90000000,429632142,57.739713,7.5,3218,143.0,Adventure,Holiday,2000,4.773690466666666,1,96.6,Invest with confidence,90.0,429.6
Happy Feet,100000000,384335608,37.272385,5.9,1410,108.0,Animation,Holiday,2006,3.84335608,1,74.8,Invest with confidence,100.0,384.3
The Bourne Supremacy,75000000,288500217,53.213931,7.2,2825,108.0,Action,Summer,2004,3.84666956,1,91.3,Invest with confidence,75.0,288.5
Air Force One,85000000,315156409,36.38795,6.2,840,124.0,Action,Summer,1997,3.7077224588235294,1,59.4,Invest with caution,85.0,315.2
Ocean's Eleven,85000000,450717150,60.929352,7.2,3783,116.0,Thriller,Holiday,2001,5.302554705882353,1,88.9,Invest with confidence,85.0,450.7
The Three Musketeers,75000000,132274484,36.605246,5.6,924,110.0,Adventure,Summer,2011,1.7636597866666666,0,69.3,Invest with caution,75.0,132.3
Hotel Transylvania,85000000,358375603,56.257411,6.8,2566,91.0,Animation,Off-Season,2012,4.216183564705882,1,90.6,Invest with confidence,85.0,358.4
Enchanted,85000000,340487652,29.21998,6.6,1449,107.0,Comedy,Holiday,2007,4.005737082352941,1,81.6,Invest with confidence,85.0,340.5
Safe House,85000000,208076205,34.773106,6.3,1345,115.0,Action,Off-Season,2012,2.4479553529411766,1,59.3,Invest with caution,85.0,208.1
102 Dalmatians,85000000,183611771,9.895061,5.1,313,100.0,Comedy,Off-Season,2000,2.160138482352941,1,28.0,Do not invest,85.0,183.6
Tower Heist,75000000,152930623,36.743324,5.8,932,104.0,Action,Holiday,2011,2.0390749733333333,1,52.6,Invest with caution,75.0,152.9
The Holiday,85000000,194168700,44.967453,6.7,1225,136.0,Comedy,Holiday,2006,2.2843376470588237,1,74.1,Invest with confidence,85.0,194.2
Enemy of the State,90000000,250649836,41.207568,6.7,1240,132.0,Action,Holiday,1998,2.7849981777777777,1,66.3,Invest with caution,90.0,250.6
It's Complicated,85000000,219103655,16.479851,6.2,360,121.0,Comedy,Holiday,2009,2.577690058823529,1,31.4,Do not invest,85.0,219.1
Ocean's Thirteen,85000000,311312624,42.069993,6.5,1999,122.0,Crime,Summer,2007,3.6625014588235296,1,77.2,Invest with confidence,85.0,311.3
Open Season,85000000,197309027,26.61951,6.1,656,83.0,Adventure,Off-Season,2006,2.3212826705882352,1,44.3,Check the details,85.0,197.3
Divergent,85000000,288747895,80.316463,6.9,4663,139.0,Adventure,Spring,2014,3.3970340588235293,1,96.2,Invest with confidence,85.0,288.7
Enemy at the Gates,68000000,96976270,41.273567,7.2,999,131.0,War,Spring,2001,1.4261216176470588,0,51.6,Invest with caution,68.0,97.0
The Rundown,85000000,80916492,24.107835,6.4,514,104.0,Adventure,Off-Season,2003,0.9519587294117647,0,33.1,Do not invest,85.0,80.9
Last Action Hero,85000000,137298489,32.044191,6.1,712,130.0,Adventure,Summer,1993,1.6152763411764706,0,38.1,Check the details,85.0,137.3
Memoirs of a Geisha,85000000,162242962,16.595874,7.3,652,145.0,Drama,Holiday,2005,1.9087407294117646,0,27.0,Do not invest,85.0,162.2
The Fast and the Furious: Tokyo Drift,85000000,158468292,8.282876,6.1,1705,104.0,Action,Summer,2006,1.8643328470588236,0,66.8,Invest with caution,85.0,158.5
Meet Joe Black,90000000,142940100,36.069611,6.9,1147,178.0,Fantasy,Holiday,1998,1.5882233333333333,0,50.5,Invest with caution,90.0,142.9
Collateral Damage,85000000,78382433,18.827753,5.5,427,108.0,Action,Off-Season,2002,0.9221462705882353,0,25.7,Do not invest,85.0,78.4
Mirror Mirror,85000000,183018522,48.126297,5.5,1114,106.0,Adventure,Spring,2012,2.153159082352941,1,65.3,Invest with caution,85.0,183.0
Scott Pilgrim vs. the World,60000000,47664559,38.885195,7.2,2126,112.0,Action,Summer,2010,0.7944093166666667,0,56.2,Invest with caution,60.0,47.7
The Core,60000000,74208267,29.211255,5.4,516,136.0,Action,Spring,2003,1.23680445,0,27.0,Do not invest,60.0,74.2
Nutty Professor II: The Klumps,84000000,123307945,17.783361,4.7,332,106.0,Fantasy,Summer,2000,1.4679517261904762,0,19.6,Do not invest,84.0,123.3
Scooby-Doo,84000000,275650703,31.435539,5.4,820,88.0,Mystery,Summer,2002,3.281555988095238,1,45.3,Check the details,84.0,275.7
Dredd,50000000,41037742,57.673932,6.6,1940,95.0,Action,Off-Season,2012,0.82075484,0,78.3,Invest with confidence,50.0,41.0
Click,82500000,237681299,41.176631,6.0,2104,107.0,Comedy,Summer,2006,2.8809854424242425,1,84.7,Invest with confidence,82.5,237.7
Creepshow,8000000,21028755,13.661289,6.7,226,120.0,Horror,Holiday,1982,2.628594375,1,67.1,Invest with caution,8.0,21.0
Cats & Dogs 2 : The Revenge of Kitty Galore,85000000,112483764,11.77398,4.9,119,82.0,Comedy,Summer,2010,1.3233384,0,8.9,Do not invest,85.0,112.5
Jumper,85000000,222231186,21.218,5.9,1799,88.0,Adventure,Off-Season,2008,2.6144845411764708,1,75.4,Invest with confidence,85.0,222.2
Hellboy II: The Golden Army,85000000,160388063,58.57976,6.5,1527,120.0,Adventure,Summer,2008,1.886918388235294,0,75.2,Invest with confidence,85.0,160.4
Zodiac,65000000,84785914,51.970905,7.3,2023,157.0,Crime,Spring,2007,1.3043986769230769,0,67.1,Invest with caution,65.0,84.8
The 6th Day,82000000,96085477,18.447479,5.7,595,123.0,Science Fiction,Holiday,2000,1.1717741097560976,0,43.5,Check the details,82.0,96.1
Bruce Almighty,80000000,484572835,109.684788,6.4,3012,101.0,Fantasy,Spring,2003,6.0571604375,1,96.2,Invest with confidence,80.0,484.6
The Expendables,80000000,274470394,77.580661,6.0,2926,103.0,Thriller,Summer,2010,3.430879925,1,94.3,Invest with confidence,80.0,274.5
Mission: Impossible,80000000,457696359,75.290998,6.7,2631,110.0,Adventure,Spring,1996,5.7212044875,1,94.2,Invest with confidence,80.0,457.7
The Hunger Games,75000000,691210692,68.550698,6.9,9455,142.0,Science Fiction,Spring,2012,9.21614256,1,94.8,Invest with confidence,75.0,691.2
The Hangover Part II,80000000,254455986,58.040149,6.2,3739,102.0,Comedy,Spring,2011,3.180699825,1,97.3,Invest with confidence,80.0,254.5
Batman Returns,80000000,280000000,59.113174,6.6,1673,126.0,Action,Summer,1992,3.5,1,72.6,Invest with confidence,80.0,280.0
Over the Hedge,80000000,343397247,36.32705,6.3,1074,83.0,Comedy,Spring,2006,4.2924655875,1,79.0,Invest with confidence,80.0,343.4
Lilo & Stitch,80000000,145771527,55.659988,7.1,1314,85.0,Animation,Summer,2002,1.8221440875,0,59.4,Invest with caution,80.0,145.8
Charlotte's Web,85000000,144000000,14.132583,5.8,288,97.0,Comedy,Holiday,2006,1.6941176470588235,0,23.8,Do not invest,85.0,144.0
Deep Impact,75000000,140464664,34.070054,5.9,855,120.0,Action,Spring,1998,1.8728621866666666,0,54.0,Invest with caution,75.0,140.5
The Longest Yard,82000000,190320568,26.065735,6.2,785,113.0,Comedy,Spring,2005,2.320982536585366,1,38.3,Check the details,82.0,190.3
Alvin and the Chipmunks: Chipwrecked,75000000,342695435,23.473004,5.4,484,87.0,Comedy,Holiday,2011,4.569272466666667,1,62.8,Invest with caution,75.0,342.7
Grown Ups 2,80000000,246984278,45.589568,5.8,1155,100.0,Comedy,Summer,2013,3.087303475,1,73.7,Invest with confidence,80.0,247.0
Get Smart,80000000,230685453,23.496054,6.0,1051,110.0,Action,Summer,2008,2.8835681625,1,60.2,Invest with caution,80.0,230.7
Something's Gotta Give,80000000,266728738,16.939441,6.3,410,128.0,Drama,Holiday,2003,3.334109225,1,39.4,Check the details,80.0,266.7
Shutter Island,80000000,294804195,81.914696,7.8,6336,138.0,Drama,Off-Season,2010,3.6850524375,1,95.0,Invest with confidence,80.0,294.8
Four Christmases,80000000,163733697,19.500893,5.3,331,88.0,Comedy,Holiday,2008,2.0466712125,1,45.8,Check the details,80.0,163.7
Robots,75000000,260696994,29.558157,6.0,1333,91.0,Animation,Spring,2005,3.47595992,1,85.5,Invest with confidence,75.0,260.7
Face/Off,80000000,245676146,46.075037,6.8,1583,138.0,Action,Summer,1997,3.070951825,1,71.3,Invest with confidence,80.0,245.7
Bedtime Stories,80000000,212874442,23.531721,5.9,901,99.0,Fantasy,Holiday,2008,2.660930525,1,67.2,Invest with caution,80.0,212.9
Road to Perdition,80000000,181001478,49.078546,7.3,1077,117.0,Thriller,Summer,2002,2.262518475,1,34.7,Do not invest,80.0,181.0
Just Go with It,80000000,214918407,37.02665,6.3,1543,117.0,Romance,Off-Season,2011,2.6864800875,1,67.4,Invest with caution,80.0,214.9
Con Air,75000000,224012234,45.154631,6.5,1270,115.0,Action,Summer,1997,2.9868297866666667,1,61.1,Invest with caution,75.0,224.0
Eagle Eye,80000000,178066569,46.887983,6.3,1018,118.0,Mystery,Off-Season,2008,2.2258321125,1,57.6,Invest with caution,80.0,178.1
Cold Mountain,79000000,173013509,24.598479,6.7,533,154.0,Drama,Holiday,2003,2.190044417721519,1,41.7,Check the details,79.0,173.0
The Book of Eli,80000000,157107755,32.363538,6.6,2164,118.0,Action,Off-Season,2010,1.9638469375,0,59.2,Invest with caution,80.0,157.1
Flubber,80000000,177977226,11.50396,5.3,695,93.0,Comedy,Holiday,1997,2.224715325,1,43.9,Check the details,80.0,178.0
The Haunting,80000000,91188905,19.375768,5.2,369,113.0,Horror,Summer,1999,1.1398613125,0,26.0,Do not invest,80.0,91.2
Space Jam,80000000,250200000,36.125715,6.5,1288,88.0,Animation,Holiday,1996,3.1275,1,81.2,Invest with confidence,80.0,250.2
The Day the Earth Stood Still,80000000,233093859,41.890722,5.2,1043,104.0,Drama,Holiday,2008,2.9136732375,1,74.9,Invest with confidence,80.0,233.1
Conspiracy Theory,75000000,136982834,22.179658,6.5,431,135.0,Action,Summer,1997,1.8264377866666666,0,27.8,Do not invest,75.0,137.0
Fury,68000000,211817906,139.575085,7.4,3946,135.0,War,Off-Season,2014,3.114969205882353,1,88.7,Invest with confidence,68.0,211.8
Six Days Seven Nights,70000000,164000000,18.264635,5.6,332,98.0,Action,Summer,1998,2.342857142857143,1,26.5,Do not invest,70.0,164.0
Yogi Bear,80000000,201584141,11.187696,5.2,220,80.0,Comedy,Holiday,2010,2.5198017625,1,38.0,Check the details,80.0,201.6
Spirit: Stallion of the Cimarron,80000000,122563539,41.670544,7.4,831,83.0,Western,Spring,2002,1.5320442375,0,45.7,Check the details,80.0,122.6
Zookeeper,80000000,169852759,27.46264,5.3,498,102.0,Comedy,Summer,2011,2.1231594875,1,32.4,Do not invest,80.0,169.9
Lost in Space,80000000,136159423,17.455024,5.0,388,130.0,Adventure,Spring,1998,1.7019927875,0,21.0,Do not invest,80.0,136.2
The Manchurian Candidate,80000000,96105964,21.394281,6.2,393,129.0,Drama,Summer,2004,1.20132455,0,25.8,Do not invest,80.0,96.1
Hotel Transylvania 2,80000000,473226958,61.692197,6.7,1497,89.0,Animation,Off-Season,2015,5.915336975,1,84.3,Invest with confidence,80.0,473.2
Fantasia 2000,80000000,90874570,14.530946,7.0,292,74.0,Animation,Holiday,1999,1.135932125,0,24.7,Do not invest,80.0,90.9
The Time Machine,80000000,123729176,25.978555,5.8,631,96.0,Science Fiction,Spring,2002,1.5466147,0,29.5,Do not invest,80.0,123.7
Swordfish,102000000,147080413,36.788745,6.1,932,99.0,Action,Summer,2001,1.4419648333333333,0,40.7,Check the details,102.0,147.1
The Legend of Zorro,75000000,142400065,31.054334,5.9,893,129.0,Action,Off-Season,2005,1.8986675333333334,0,43.6,Check the details,75.0,142.4
What Dreams May Come,85000000,71485043,21.891078,6.8,577,113.0,Drama,Off-Season,1998,0.841000505882353,0,28.9,Do not invest,85.0,71.5
The Brothers Grimm,88000000,105316267,40.138009,5.6,818,118.0,Adventure,Summer,2005,1.1967757613636363,0,35.4,Check the details,88.0,105.3
Mars Attacks!,70000000,101371017,44.090535,6.1,1509,106.0,Comedy,Holiday,1996,1.4481573857142858,0,82.8,Invest with confidence,70.0,101.4
Surrogates,80000000,122444772,36.664991,5.9,1195,89.0,Action,Off-Season,2009,1.53055965,0,50.1,Invest with caution,80.0,122.4
Thirteen Days,80000000,34566746,18.26121,6.9,189,145.0,Drama,Holiday,2000,0.432084325,0,14.8,Do not invest,80.0,34.6
Daylight,80000000,159212469,16.681269,5.8,378,115.0,Action,Holiday,1996,1.9901558625,0,21.9,Do not invest,80.0,159.2
Walking With Dinosaurs,80000000,126546518,10.088006,5.2,133,87.0,Animation,Holiday,2013,1.581831475,0,18.2,Do not invest,80.0,126.5
Battlefield Earth,44000000,21400000,7.89147,3.0,255,118.0,Action,Spring,2000,0.4863636363636364,0,19.1,Do not invest,44.0,21.4
Looney Tunes: Back in Action,80000000,68514844,16.715631,5.6,297,90.0,Animation,Holiday,2003,0.85643555,0,22.9,Do not invest,80.0,68.5
Nine,80000000,53825515,9.357734,5.1,165,112.0,Drama,Holiday,2009,0.6728189375,0,7.4,Do not invest,80.0,53.8
Timeline,80000000,19480739,11.22268,5.4,318,116.0,Action,Holiday,2003,0.2435092375,0,19.5,Do not invest,80.0,19.5
The Postman,80000000,17626234,14.564667,6.1,299,177.0,Drama,Holiday,1997,0.220327925,0,25.0,Do not invest,80.0,17.6
Babe: Pig in the City,90000000,69131860,11.356079,5.2,305,92.0,Adventure,Holiday,1998,0.7681317777777777,0,19.2,Do not invest,90.0,69.1
The Last Witch Hunter,90000000,146936910,52.612025,5.7,1316,106.0,Fantasy,Off-Season,2015,1.6326323333333332,0,58.5,Invest with caution,90.0,146.9
Red Planet,80000000,33463969,13.800656,5.4,267,106.0,Thriller,Holiday,2000,0.4182996125,0,10.4,Do not invest,80.0,33.5
Arthur and the Invisibles,86000000,107944236,27.097932,6.0,639,94.0,Adventure,Holiday,2006,1.255165534883721,0,43.1,Check the details,86.0,107.9
A Sound of Thunder,80000000,5989640,7.342892,4.8,111,110.0,Thriller,Spring,2005,0.0748705,0,4.5,Do not invest,80.0,6.0
Pompeii,130000000,117831631,50.561849,5.2,1267,105.0,Action,Off-Season,2014,0.9063971615384615,0,35.3,Check the details,130.0,117.8
A Beautiful Mind,60000000,313542341,59.248437,7.7,3009,135.0,Drama,Holiday,2001,5.2257056833333335,1,94.3,Invest with confidence,60.0,313.5
The Lion King,45000000,788241776,90.457886,8.0,5376,89.0,Family,Summer,1994,17.516483911111113,1,98.3,Invest with confidence,45.0,788.2
Journey 2: The Mysterious Island,79000000,355692760,40.723459,5.8,1030,94.0,Adventure,Off-Season,2012,4.50244,1,72.5,Invest with confidence,79.0,355.7
Cloudy with a Chance of Meatballs 2,78000000,248384621,41.247402,6.4,915,95.0,Animation,Off-Season,2013,3.184418217948718,1,73.6,Invest with confidence,78.0,248.4
Red Dragon,78000000,209196298,10.083905,6.7,1115,124.0,Crime,Off-Season,2002,2.6820038205128207,1,60.5,Invest with caution,78.0,209.2
Hidalgo,100000000,108103450,16.759252,6.5,318,136.0,Western,Spring,2004,1.0810345,0,20.9,Do not invest,100.0,108.1
Jack and Jill,79000000,149673788,22.132418,4.1,604,91.0,Comedy,Holiday,2011,1.894604911392405,0,36.4,Check the details,79.0,149.7
2 Fast 2 Furious,76000000,236350661,10.520961,6.2,2028,107.0,Action,Summer,2003,3.1098771184210525,1,69.1,Invest with caution,76.0,236.4
The Little Prince,64000000,97571250,35.384423,7.6,756,92.0,Adventure,Summer,2015,1.52455078125,0,25.3,Do not invest,64.0,97.6
The Invasion,80000000,15071514,15.673154,5.7,359,99.0,Science Fiction,Summer,2007,0.188393925,0,19.4,Do not invest,80.0,15.1
The Adventures of Rocky & Bullwinkle,76000000,35134820,8.981427,3.9,87,88.0,Action,Summer,2000,0.46230026315789474,0,6.1,Do not invest,76.0,35.1
The Secret Life of Pets,75000000,875958308,31.482872,5.9,3462,87.0,Animation,Summer,2016,11.679444106666667,1,97.1,Invest with confidence,75.0,876.0
The League of Extraordinary Gentlemen,78000000,179265204,47.436675,5.7,1155,110.0,Fantasy,Summer,2003,2.2982718461538463,1,69.8,Invest with caution,78.0,179.3
Despicable Me 2,76000000,970761885,136.886704,7.0,4637,98.0,Animation,Summer,2013,12.773182697368421,1,98.1,Invest with confidence,76.0,970.8
Independence Day,75000000,816969268,60.442593,6.7,3260,145.0,Action,Summer,1996,10.892923573333332,1,95.8,Invest with confidence,75.0,817.0
The Lost World: Jurassic Park,73000000,229074524,2.502487,6.2,2487,129.0,Adventure,Spring,1997,3.1380071780821917,1,87.4,Invest with confidence,73.0,229.1
Madagascar,75000000,532680671,48.110909,6.6,3237,86.0,Family,Spring,2005,7.1024089466666664,1,96.9,Invest with confidence,75.0,532.7
Children of Men,76000000,69959751,35.387874,7.4,2071,109.0,Drama,Off-Season,2006,0.9205230394736842,0,63.2,Invest with caution,76.0,70.0
X-Men,75000000,296339527,4.66891,6.8,4097,104.0,Adventure,Summer,2000,3.9511936933333334,1,96.5,Invest with confidence,75.0,296.3
Wanted,75000000,258270008,73.82289,6.4,2528,110.0,Action,Summer,2008,3.4436001066666666,1,83.8,Invest with confidence,75.0,258.3
The Rock,75000000,335062621,51.469576,6.9,1456,136.0,Action,Summer,1996,4.467501613333333,1,71.3,Invest with confidence,75.0,335.1
Ice Age: The Meltdown,80000000,660940780,85.115058,6.5,2951,91.0,Animation,Spring,2006,8.26175975,1,97.1,Invest with confidence,80.0,660.9
50 First Dates,75000000,196482882,61.437586,6.6,2105,99.0,Comedy,Off-Season,2004,2.61977176,1,82.8,Invest with confidence,75.0,196.5
Hairspray,50000000,90450008,31.160542,6.5,709,117.0,Family,Summer,2007,1.80900016,0,50.9,Invest with caution,50.0,90.5
Exorcist: The Beginning,80000000,78000586,15.761384,4.7,183,114.0,Horror,Summer,2004,0.975007325,0,10.3,Do not invest,80.0,78.0
Now You See Me,75000000,117698894,71.124686,7.3,5487,115.0,Thriller,Spring,2013,1.5693185866666666,0,86.0,Invest with confidence,75.0,117.7
Grown Ups,80000000,271430189,38.864027,6.0,1705,102.0,Comedy,Summer,2010,3.3928773625,1,85.5,Invest with confidence,80.0,271.4
The Terminal,60000000,219417255,57.753914,7.0,1910,128.0,Comedy,Summer,2004,3.65695425,1,77.5,Invest with confidence,60.0,219.4
Hotel for Dogs,35000000,73034460,13.25753,5.7,202,100.0,Comedy,Off-Season,2009,2.0866988571428573,1,16.8,Do not invest,35.0,73.0
Vertical Limit,75000000,215663859,13.318744,5.9,283,124.0,Action,Holiday,2000,2.87551812,1,27.5,Do not invest,75.0,215.7
Charlie Wilson's War,75000000,119000410,18.70031,6.5,338,102.0,Comedy,Holiday,2007,1.5866721333333333,0,26.0,Do not invest,75.0,119.0
Shark Tale,75000000,367275019,47.094369,5.8,1557,90.0,Animation,Off-Season,2004,4.897000253333333,1,84.4,Invest with confidence,75.0,367.3
Dreamgirls,70000000,154937680,14.486311,6.6,284,134.0,Drama,Holiday,2006,2.213395428571429,1,29.6,Do not invest,70.0,154.9
Be Cool,53000000,95226116,18.61472,5.4,292,118.0,Comedy,Spring,2005,1.7967191698113207,0,30.2,Do not invest,53.0,95.2
Munich,70000000,130358911,29.035222,6.9,696,164.0,Drama,Holiday,2005,1.862270157142857,0,35.4,Check the details,70.0,130.4
Tears of the Sun,70000000,85632458,27.055085,6.4,573,121.0,Action,Spring,2003,1.2233208285714285,0,29.9,Do not invest,70.0,85.6
Killers,75000000,98159963,23.004607,5.7,772,100.0,Action,Summer,2010,1.3087995066666667,0,29.2,Do not invest,75.0,98.2
The Man from U.N.C.L.E.,75000000,108145109,48.744209,7.1,2265,116.0,Comedy,Summer,2015,1.4419347866666667,0,71.7,Invest with confidence,75.0,108.1
Spanglish,80000000,55041367,14.209329,5.8,369,130.0,Comedy,Holiday,2004,0.6880170875,0,34.7,Do not invest,80.0,55.0
Monster House,75000000,140175006,36.368839,6.3,874,91.0,Animation,Summer,2006,1.86900008,0,57.9,Invest with caution,75.0,140.2
Bandits,75000000,67631903,24.353302,6.2,302,123.0,Action,Off-Season,2001,0.9017587066666667,0,19.9,Do not invest,75.0,67.6
First Knight,55000000,127600435,19.143321,5.9,311,134.0,Action,Summer,1995,2.320007909090909,1,52.5,Invest with caution,55.0,127.6
Immortals,75000000,226904017,37.917002,5.7,880,110.0,Fantasy,Holiday,2011,3.025386893333333,1,66.6,Invest with caution,75.0,226.9
Hostage,52000000,77944725,23.663713,6.2,512,113.0,Mystery,Spring,2005,1.4989370192307692,0,35.7,Check the details,52.0,77.9
Titan A.E.,75000000,36754634,14.44381,6.3,313,94.0,Animation,Summer,2000,0.49006178666666667,0,34.1,Do not invest,75.0,36.8
Hollywood Homicide,75000000,51142659,10.605084,5.0,166,116.0,Action,Summer,2003,0.68190212,0,7.8,Do not invest,75.0,51.1
Soldier,75000000,14567883,11.873856,6.1,221,99.0,Action,Off-Season,1998,0.19423844,0,10.4,Do not invest,75.0,14.6
Monkeybone,75000000,5409517,8.098369,4.3,78,93.0,Adventure,Off-Season,2001,0.07212689333333333,0,5.4,Do not invest,75.0,5.4
Flight of the Phoenix,45000000,21009180,20.374308,5.7,276,113.0,Action,Holiday,2004,0.46687066666666666,0,22.2,Do not invest,45.0,21.0
Unbreakable,75000000,248118121,42.006908,6.9,1946,106.0,Science Fiction,Holiday,2000,3.308241613333333,1,80.9,Invest with confidence,75.0,248.1
Minions,74000000,1156730962,875.581305,6.4,4571,91.0,Family,Summer,2015,15.631499486486486,1,98.0,Invest with confidence,74.0,1156.7
Sucker Punch,82000000,89792502,39.127082,5.9,1623,110.0,Action,Spring,2011,1.095030512195122,0,62.5,Invest with caution,82.0,89.8
Snake Eyes,73000000,103891409,20.790703,5.8,327,98.0,Crime,Summer,1998,1.4231699863013698,0,27.1,Do not invest,73.0,103.9
Sphere,75000000,13100000,18.65988,5.8,476,134.0,Science Fiction,Off-Season,1998,0.17466666666666666,0,29.4,Do not invest,75.0,13.1
The Angry Birds Movie,73000000,349779543,45.720894,5.9,1022,97.0,Family,Spring,2016,4.791500589041096,1,73.9,Invest with confidence,73.0,349.8
Fool's Gold,70000000,111231041,21.789615,5.4,444,112.0,Romance,Off-Season,2008,1.5890148714285715,0,26.8,Do not invest,70.0,111.2
Funny People,75000000,61458982,20.199057,5.7,390,146.0,Comedy,Summer,2009,0.8194530933333334,0,28.5,Do not invest,75.0,61.5
The Kingdom,70000000,86658558,26.123705,6.5,513,110.0,Thriller,Summer,2007,1.2379794,0,25.2,Do not invest,70.0,86.7
Talladega Nights: The Ballad of Ricky Bobby,72500000,162966177,12.599836,6.2,491,116.0,Comedy,Summer,2006,2.2478093379310344,1,37.9,Check the details,72.5,163.0
Dr. Dolittle 2,70000000,176104344,13.543053,4.9,410,87.0,Comedy,Summer,2001,2.515776342857143,1,36.6,Check the details,70.0,176.1
Braveheart,72000000,210000000,60.722162,7.7,3336,177.0,Action,Spring,1995,2.9166666666666665,1,89.2,Invest with confidence,72.0,210.0
Jarhead,72000000,96889998,32.227223,6.6,765,125.0,Drama,Holiday,2005,1.3456944166666667,0,40.9,Check the details,72.0,96.9
The Simpsons Movie,75000000,527068851,46.875375,6.9,2264,87.0,Animation,Summer,2007,7.02758468,1,84.9,Invest with confidence,75.0,527.1
The Majestic,72000000,37317558,11.215702,6.6,188,152.0,Drama,Holiday,2001,0.5182994166666667,0,14.1,Do not invest,72.0,37.3
Driven,94000000,54744738,8.468586,4.5,179,116.0,Action,Spring,2001,0.582390829787234,0,7.0,Do not invest,94.0,54.7
Two Brothers,74500000,62172050,8.884318,6.9,180,109.0,Adventure,Spring,2004,0.8345241610738255,0,8.5,Do not invest,74.5,62.2
The Village,60000000,256697520,27.491891,6.2,1071,108.0,Drama,Summer,2004,4.278292,1,68.0,Invest with caution,60.0,256.7
